24:d3:f2:a7:b3:cd,b4:74:9f:ba:83:34,b0:89:00:74:7c:84,9c:d6:43:cb:23:c0,30:99:35:90:32:9f,44:fb:5a:d2:d0:61,d8:0d:17:db:be:92,10:10:81:ad:c4:92,f4:e3:fb:90:3a:a8,indoor,roomNum
-83,-64,-100,-40,-61,-75,-100,-100,-81,1,2
-83,-64,-88,-40,-61,-76,-100,-100,-82,1,2
-84,-74,-85,-39,-62,-74,-100,-82,-82,1,2
-100,-64,-88,-39,-60,-74,-94,-84,-82,1,2
-84,-65,-90,-39,-62,-75,-100,-100,-83,1,2
-84,-80,-88,-39,-60,-75,-100,-83,-84,1,2
-100,-65,-84,-32,-59,-81,-90,-76,-89,1,2
-100,-68,-88,-31,-100,-83,-92,-100,-89,1,2
-100,-74,-86,-31,-59,-78,-100,-100,-90,1,2
-100,-68,-79,-36,-65,-72,-86,-81,-83,1,2
-100,-59,-86,-36,-62,-70,-100,-100,-79,1,2
-100,-59,-82,-36,-62,-68,-89,-77,-81,1,2
-100,-59,-83,-36,-61,-70,-100,-84,-80,1,2
-100,-64,-85,-36,-62,-70,-100,-84,-80,1,2
-84,-61,-82,-36,-62,-70,-89,-100,-80,1,2
-100,-61,-83,-36,-62,-69,-86,-83,-79,1,2
-100,-59,-81,-36,-62,-70,-88,-84,-77,1,2
-100,-59,-85,-35,-61,-71,-90,-82,-80,1,2
-84,-59,-83,-36,-62,-70,-100,-81,-80,1,2
-100,-60,-93,-35,-61,-70,-89,-80,-80,1,2
-100,-61,-84,-36,-59,-69,-86,-100,-81,1,2
-100,-60,-83,-35,-62,-68,-85,-100,-78,1,2
-84,-64,-80,-36,-100,-70,-100,-82,-81,1,2
-100,-59,-82,-36,-62,-70,-90,-100,-84,1,2
-100,-64,-83,-36,-74,-71,-88,-83,-79,1,2
-82,-67,-82,-34,-59,-65,-100,-100,-80,1,2
-100,-69,-70,-38,-57,-73,-88,-100,-87,1,2
-76,-71,-70,-36,-57,-72,-100,-100,-83,1,2
-76,-68,-71,-36,-56,-73,-87,-71,-86,1,2
-87,-70,-74,-37,-56,-79,-85,-71,-100,1,2
-76,-70,-71,-37,-55,-71,-85,-100,-84,1,2
-90,-68,-68,-36,-58,-72,-86,-71,-84,1,2
-72,-72,-70,-35,-70,-70,-89,-100,-84,1,2
-73,-66,-78,-46,-100,-60,-100,-100,-81,1,2
-71,-66,-77,-44,-47,-60,-100,-68,-80,1,2
-73,-66,-76,-44,-54,-57,-85,-100,-90,1,2
-71,-65,-77,-47,-48,-60,-100,-68,-81,1,2
-72,-67,-77,-42,-100,-58,-100,-68,-79,1,2
-72,-67,-76,-45,-100,-60,-84,-100,-80,1,2
-72,-67,-77,-45,-48,-60,-86,-69,-80,1,2
-71,-63,-76,-46,-49,-60,-84,-67,-80,1,2
-72,-65,-77,-47,-49,-59,-87,-67,-80,1,2
-100,-64,-83,-37,-47,-66,-100,-100,-83,1,2
-74,-61,-79,-36,-48,-66,-83,-88,-82,1,2
-76,-61,-79,-36,-48,-67,-87,-89,-84,1,2
-100,-62,-79,-36,-48,-67,-82,-88,-81,1,2
-100,-61,-82,-37,-48,-68,-82,-84,-82,1,2
-74,-61,-80,-36,-48,-67,-84,-89,-81,1,2
-100,-64,-82,-37,-48,-67,-81,-100,-80,1,2
-75,-61,-82,-37,-48,-65,-83,-100,-82,1,2
-74,-60,-79,-37,-48,-64,-81,-100,-82,1,2
-100,-61,-82,-38,-50,-70,-82,-100,-82,1,2
-87,-61,-83,-37,-48,-68,-86,-86,-81,1,2
-76,-70,-75,-42,-53,-72,-88,-75,-100,1,2
-76,-70,-80,-44,-51,-72,-87,-80,-88,1,2
-75,-69,-77,-42,-51,-71,-85,-78,-83,1,2
-100,-71,-81,-43,-51,-71,-100,-100,-100,1,2
-100,-69,-80,-45,-52,-71,-89,-78,-87,1,2
-88,-69,-81,-43,-51,-71,-100,-80,-88,1,2
-75,-69,-81,-43,-51,-70,-87,-80,-87,1,2
-100,-70,-80,-42,-51,-72,-100,-100,-100,1,2
-77,-70,-82,-47,-54,-64,-100,-100,-93,1,2
-88,-73,-85,-45,-54,-64,-100,-82,-90,1,2
-77,-71,-81,-47,-55,-64,-100,-77,-93,1,2
-100,-74,-89,-42,-61,-76,-100,-100,-100,1,2
-75,-67,-89,-54,-63,-76,-100,-100,-91,1,2
-100,-72,-90,-54,-63,-76,-100,-100,-91,1,2
-89,-69,-91,-54,-62,-77,-100,-100,-90,1,2
-74,-68,-90,-51,-61,-74,-100,-87,-89,1,2
-88,-68,-90,-54,-61,-74,-100,-100,-100,1,2
-100,-100,-90,-56,-64,-78,-100,-100,-91,1,2
-75,-75,-87,-52,-60,-77,-100,-100,-92,1,2
-100,-76,-82,-55,-55,-48,-100,-81,-86,1,2
-100,-59,-89,-52,-50,-59,-100,-63,-86,1,2
-100,-83,-91,-62,-47,-50,-100,-100,-93,1,2
-80,-100,-92,-61,-48,-52,-100,-77,-93,1,2
-86,-100,-92,-59,-47,-51,-100,-100,-93,1,2
-100,-100,-92,-61,-47,-51,-100,-76,-92,1,2
-87,-83,-93,-60,-47,-51,-100,-100,-94,1,2
-87,-83,-91,-60,-47,-51,-100,-83,-92,1,2
-87,-84,-100,-60,-47,-51,-100,-82,-100,1,2
-72,-75,-85,-57,-42,-57,-100,-66,-100,1,2
-79,-73,-100,-60,-100,-59,-100,-65,-88,1,2
-80,-72,-100,-61,-51,-58,-100,-65,-91,1,2
-80,-73,-100,-60,-48,-59,-100,-100,-92,1,2
-100,-74,-100,-61,-51,-59,-100,-65,-91,1,2
-100,-73,-100,-60,-49,-57,-84,-100,-90,1,2
-83,-67,-71,-48,-63,-71,-92,-100,-85,1,2
-82,-65,-77,-49,-59,-66,-88,-85,-100,1,2
-100,-64,-75,-48,-60,-65,-88,-100,-100,1,2
-81,-67,-75,-50,-60,-66,-100,-100,-100,1,2
-81,-66,-75,-50,-60,-65,-100,-92,-100,1,2
-100,-71,-79,-41,-67,-74,-91,-83,-91,1,2
-83,-69,-80,-55,-100,-75,-100,-80,-87,1,2
-100,-69,-78,-52,-67,-76,-93,-79,-100,1,2
-100,-74,-82,-57,-68,-75,-93,-80,-83,1,2
-100,-66,-80,-53,-67,-75,-94,-100,-87,1,2
-100,-69,-79,-57,-67,-75,-92,-100,-100,1,2
-100,-66,-78,-53,-68,-74,-93,-100,-88,1,2
-100,-66,-79,-53,-67,-74,-94,-100,-87,1,2
-100,-75,-83,-49,-60,-70,-93,-100,-87,1,2
-77,-76,-78,-45,-66,-75,-92,-100,-88,1,2
-77,-63,-79,-42,-60,-74,-82,-75,-91,1,2
-100,-69,-74,-24,-76,-85,-88,-100,-77,1,2
-92,-71,-77,-27,-100,-76,-100,-87,-100,1,2
-78,-61,-67,-31,-63,-58,-85,-77,-91,1,2
-78,-61,-66,-31,-62,-58,-80,-77,-84,1,2
-78,-60,-67,-31,-62,-59,-80,-100,-83,1,2
-77,-60,-67,-31,-62,-58,-80,-100,-83,1,2
-77,-70,-81,-38,-56,-67,-90,-100,-89,1,2
-100,-72,-82,-32,-65,-73,-100,-88,-91,1,2
-100,-74,-77,-35,-66,-72,-91,-83,-92,1,2
-100,-72,-77,-35,-66,-69,-88,-100,-91,1,2
-100,-72,-77,-35,-65,-69,-89,-100,-92,1,2
-100,-71,-77,-36,-67,-70,-90,-100,-90,1,2
-100,-72,-76,-36,-66,-69,-90,-100,-90,1,2
-100,-75,-77,-36,-67,-70,-88,-84,-92,1,2
-83,-73,-77,-35,-100,-70,-100,-100,-91,1,2
-100,-77,-77,-35,-66,-70,-90,-100,-91,1,2
-100,-77,-77,-35,-66,-70,-89,-100,-91,1,2
-85,-71,-80,-35,-67,-67,-89,-85,-91,1,2
-84,-76,-79,-32,-65,-100,-100,-85,-90,1,2
-83,-78,-80,-31,-70,-78,-100,-100,-94,1,2
-84,-79,-100,-35,-67,-76,-100,-87,-93,1,2
-85,-75,-79,-34,-68,-76,-100,-87,-93,1,2
-83,-79,-80,-35,-66,-76,-100,-86,-92,1,2
